OTU,Taxonomy
Otu004545,Firmicutes
Otu004546,Firmicutes
Otu004547,Firmicutes
Otu004548,Firmicutes
Otu004549,Firmicutes
Otu004550,Firmicutes
Otu004551,Firmicutes
Otu004552,Firmicutes
Otu004553,Firmicutes
Otu004554,Firmicutes
Otu004555,Firmicutes
Otu004556,Firmicutes
Otu004557,Firmicutes
Otu004558,Firmicutes
Otu004559,Firmicutes
Otu004560,Firmicutes
Otu004561,Firmicutes
Otu004562,Firmicutes
Otu004563,Firmicutes
Otu004564,Firmicutes
Otu004565,Firmicutes
Otu004566,Firmicutes
Otu004567,Firmicutes
Otu004568,Firmicutes
Otu004569,Firmicutes
Otu004570,Firmicutes
Otu004571,Firmicutes
Otu004572,Firmicutes
Otu004573,Firmicutes
Otu004574,Firmicutes
Otu004575,Firmicutes
Otu004576,Firmicutes
Otu004577,Firmicutes
Otu004578,Firmicutes
Otu004579,Firmicutes
Otu004580,Firmicutes
Otu004581,Firmicutes
Otu004582,Firmicutes
Otu004583,Firmicutes
Otu004584,Firmicutes
Otu004585,Firmicutes
Otu004586,Firmicutes
Otu004587,Firmicutes
Otu004588,Firmicutes
Otu004589,Firmicutes
Otu004590,Firmicutes
Otu004591,Firmicutes
Otu004592,Firmicutes
Otu004593,Firmicutes
Otu004594,Firmicutes
Otu004595,Firmicutes
Otu004596,Firmicutes
Otu004597,Firmicutes
Otu004598,Firmicutes
Otu004599,Firmicutes
Otu004600,Firmicutes
Otu004601,Firmicutes
Otu004602,Firmicutes
Otu004603,Firmicutes
Otu004604,Firmicutes
Otu004605,Firmicutes
Otu004606,Firmicutes
Otu004607,Firmicutes
Otu004608,Firmicutes
Otu004609,Firmicutes
Otu004610,Firmicutes
Otu004611,Firmicutes
Otu004612,Firmicutes
Otu004613,Firmicutes
Otu004614,Firmicutes
Otu004615,Firmicutes
Otu004616,Firmicutes
Otu004617,Firmicutes
Otu004618,Firmicutes
Otu004619,Firmicutes
Otu004620,Firmicutes
Otu004621,Firmicutes
Otu004622,Firmicutes
Otu004623,Firmicutes
Otu004624,Firmicutes
Otu004625,Firmicutes
Otu004626,Firmicutes
Otu004627,Firmicutes
Otu004628,Firmicutes
Otu004629,Firmicutes
Otu004630,Firmicutes
Otu004631,Firmicutes
Otu004632,Firmicutes
Otu004633,Firmicutes
Otu004634,Firmicutes
Otu004635,Firmicutes
Otu004636,Firmicutes
Otu004637,Firmicutes
Otu004638,Firmicutes
Otu004639,Firmicutes
Otu004640,Firmicutes
Otu004641,Firmicutes
Otu004642,Firmicutes
Otu004643,Firmicutes
Otu004644,Firmicutes
Otu004645,Firmicutes
Otu004646,Firmicutes
Otu004647,Firmicutes
Otu004648,Firmicutes
Otu004649,Firmicutes
Otu004650,Firmicutes
Otu004651,Firmicutes
Otu004652,Firmicutes
Otu004653,Firmicutes
Otu004654,Firmicutes
Otu004655,Firmicutes
Otu004656,Firmicutes
Otu004657,Firmicutes
Otu004658,Firmicutes
Otu004659,Firmicutes
Otu004660,Firmicutes
Otu004661,Firmicutes
Otu004662,Firmicutes
Otu004663,Firmicutes
Otu004664,Firmicutes
Otu004665,Firmicutes
Otu004666,Firmicutes
Otu004667,Firmicutes
Otu004668,Firmicutes
Otu004669,Firmicutes
Otu004670,Firmicutes
Otu004671,Firmicutes
Otu004672,Firmicutes
Otu004673,Firmicutes
Otu004674,Firmicutes
Otu004675,Firmicutes
Otu004676,Firmicutes
Otu004677,Firmicutes
Otu004678,Firmicutes
Otu004679,Firmicutes
Otu004680,Firmicutes
Otu004681,Firmicutes
Otu004682,Firmicutes
Otu004683,Firmicutes
Otu004684,Firmicutes
Otu004685,Firmicutes
Otu004686,Firmicutes
Otu004687,Firmicutes
Otu004688,Firmicutes
Otu004689,Firmicutes
Otu004690,Firmicutes
Otu004691,Firmicutes
Otu004692,Firmicutes
Otu004693,Firmicutes
Otu004694,Firmicutes
Otu004695,Firmicutes
Otu004696,Firmicutes
Otu004697,Firmicutes
Otu004698,Firmicutes
Otu004699,Firmicutes
Otu004700,Firmicutes
Otu004701,Firmicutes
Otu004702,Firmicutes
Otu004703,Firmicutes
Otu004704,Firmicutes
Otu004705,Firmicutes
Otu004706,Firmicutes
Otu004707,Firmicutes
Otu004708,Firmicutes
Otu004709,Firmicutes
Otu004710,Firmicutes
Otu004711,Firmicutes
Otu004712,Firmicutes
Otu004713,Firmicutes
Otu004714,Firmicutes
Otu004715,Firmicutes
Otu004716,Firmicutes
Otu004717,Firmicutes
Otu004718,Firmicutes
Otu004719,Firmicutes
Otu004720,Firmicutes
Otu004721,Firmicutes
Otu004722,Firmicutes
Otu004723,Firmicutes
Otu004724,Firmicutes
Otu004725,Firmicutes
Otu004726,Firmicutes
Otu004727,Firmicutes
Otu004728,Firmicutes
Otu004729,Firmicutes
Otu004730,Firmicutes
Otu004731,Firmicutes
Otu004732,Firmicutes
Otu004733,Firmicutes
Otu004734,Firmicutes
Otu004735,Firmicutes
Otu004736,Firmicutes
Otu004737,Firmicutes
Otu004738,Firmicutes
Otu004739,Firmicutes
Otu004740,Firmicutes
Otu004741,Firmicutes
Otu004742,Actinobacteria
Otu004743,Actinobacteria
Otu004744,Actinobacteria
Otu004745,Actinobacteria
Otu004746,Firmicutes
Otu004747,Firmicutes
Otu004748,Firmicutes
Otu004749,Firmicutes
Otu004750,Firmicutes
Otu004751,Firmicutes
Otu004752,Firmicutes
Otu004753,Firmicutes
Otu004754,Firmicutes
Otu004755,Firmicutes
Otu004756,Firmicutes
Otu004757,Firmicutes
Otu004758,Firmicutes
Otu004759,Firmicutes
Otu004760,Firmicutes
Otu004761,Firmicutes
Otu004762,Firmicutes
Otu004763,Firmicutes
Otu004764,Firmicutes
Otu004765,Firmicutes
Otu004766,Firmicutes
Otu004767,Firmicutes
Otu004768,Firmicutes
Otu004769,Firmicutes
Otu004770,Firmicutes
Otu004771,Firmicutes
Otu004772,Firmicutes
Otu004773,Firmicutes
Otu004774,Firmicutes
Otu004775,Firmicutes
Otu004776,Firmicutes
Otu004777,Firmicutes
Otu004778,Firmicutes
Otu004779,Firmicutes
Otu004780,Firmicutes
Otu004781,Firmicutes
Otu004782,Firmicutes
Otu004783,Firmicutes
Otu004784,Firmicutes
Otu004785,Firmicutes
Otu004786,Firmicutes
Otu004787,Firmicutes
Otu004788,Firmicutes
Otu004789,Firmicutes
Otu004790,Bacteroidetes
Otu004791,Bacteroidetes
Otu004792,Actinobacteria
Otu004793,Actinobacteria
Otu004794,Firmicutes
Otu004795,Firmicutes
Otu004796,Proteobacteria
Otu004797,Firmicutes
Otu004798,Firmicutes
Otu004799,Firmicutes
Otu004800,Firmicutes
Otu004801,Firmicutes
Otu004802,Firmicutes
Otu004803,Firmicutes
Otu004804,Firmicutes
Otu004805,Firmicutes
Otu004806,Firmicutes
Otu004807,Firmicutes
Otu004808,Firmicutes
Otu004809,Bacteroidetes
Otu004810,Bacteroidetes
Otu004811,Bacteroidetes
Otu004812,Bacteroidetes
Otu004813,Bacteroidetes
Otu004814,Bacteroidetes
Otu004815,Bacteroidetes
Otu004816,Bacteroidetes
Otu004817,Bacteroidetes
Otu004818,Bacteroidetes
Otu004819,Bacteroidetes
Otu004820,Bacteroidetes
Otu004821,Bacteroidetes
Otu004822,Bacteroidetes
Otu004823,Bacteroidetes
Otu004824,Bacteroidetes
Otu004825,Bacteroidetes
Otu004826,Bacteroidetes
Otu004827,Bacteroidetes
Otu004828,Bacteroidetes
Otu004829,Bacteroidetes
Otu004830,Bacteroidetes
Otu004831,Bacteroidetes
Otu004832,Bacteroidetes
Otu004833,Bacteroidetes
Otu004834,Bacteroidetes
Otu004835,Bacteroidetes
Otu004836,Bacteroidetes
Otu004837,Bacteroidetes
Otu004838,Bacteroidetes
Otu004839,Bacteroidetes
Otu004840,Bacteroidetes
Otu004841,Bacteroidetes
Otu004842,Bacteroidetes
Otu004843,Bacteroidetes
Otu004844,Bacteroidetes
Otu004845,Bacteroidetes
Otu004846,Bacteroidetes
Otu004847,Bacteroidetes
Otu004848,Bacteroidetes
Otu004849,Bacteroidetes
Otu004850,Bacteroidetes
Otu004851,Bacteroidetes
Otu004852,Bacteroidetes
Otu004853,Bacteroidetes
Otu004854,Bacteroidetes
Otu004855,Bacteroidetes
Otu004856,Bacteroidetes
Otu004857,Bacteroidetes
Otu004858,Bacteroidetes
Otu004859,Bacteroidetes
Otu004860,Bacteroidetes
Otu004861,Bacteroidetes
Otu004862,Bacteroidetes
Otu004863,Bacteroidetes
Otu004864,Bacteroidetes
Otu004865,Bacteroidetes
Otu004866,Bacteroidetes
Otu004867,Bacteroidetes
Otu004868,Bacteroidetes
Otu004869,Bacteroidetes
Otu004870,Bacteroidetes
Otu004871,Bacteroidetes
Otu004872,Bacteroidetes
Otu004873,Bacteroidetes
Otu004874,Bacteroidetes
Otu004875,Bacteroidetes
Otu004876,Bacteroidetes
Otu004877,Bacteroidetes
Otu004878,Bacteroidetes
Otu004879,Bacteroidetes
Otu004880,Bacteroidetes
Otu004881,Bacteroidetes
Otu004882,Bacteroidetes
Otu004883,Bacteroidetes
Otu004884,Bacteroidetes
Otu004885,Bacteroidetes
Otu004886,Bacteroidetes
Otu004887,Bacteroidetes
Otu004888,Bacteroidetes
Otu004889,Bacteroidetes
Otu004890,Firmicutes
Otu004891,Firmicutes
Otu004892,Firmicutes
Otu004893,Firmicutes
Otu004894,Firmicutes
Otu004895,Firmicutes
Otu004896,Firmicutes
Otu004897,Firmicutes
Otu004898,Firmicutes
Otu004899,Firmicutes
Otu004900,Firmicutes
Otu004901,Firmicutes
Otu004902,Firmicutes
Otu004903,Firmicutes
Otu004904,Firmicutes
Otu004905,Firmicutes
Otu004906,Firmicutes
Otu004907,Firmicutes
Otu004908,Firmicutes
Otu004909,Firmicutes
Otu004910,Firmicutes
Otu004911,Firmicutes
Otu004912,Firmicutes
Otu004913,Firmicutes
Otu004914,Firmicutes
Otu004915,Firmicutes
Otu004916,Firmicutes
Otu004917,Firmicutes
Otu004918,Firmicutes
Otu004919,Firmicutes
Otu004920,Firmicutes
Otu004921,Firmicutes
Otu004922,Firmicutes
Otu004923,Firmicutes
Otu004924,Firmicutes
Otu004925,Firmicutes
Otu004926,Firmicutes
Otu004927,Firmicutes
Otu004928,Firmicutes
Otu004929,Firmicutes
Otu004930,Firmicutes
Otu004931,Firmicutes
Otu004932,Firmicutes
Otu004933,Firmicutes
Otu004934,Firmicutes
Otu004935,Firmicutes
Otu004936,Firmicutes
Otu004937,Firmicutes
Otu004938,Firmicutes
Otu004939,Firmicutes
Otu004940,Firmicutes
Otu004941,Firmicutes
Otu004942,Firmicutes
Otu004943,Firmicutes
Otu004944,Firmicutes
Otu004945,Firmicutes
Otu004946,Firmicutes
Otu004947,Firmicutes
Otu004948,Firmicutes
Otu004949,Firmicutes
Otu004950,Firmicutes
Otu004951,Firmicutes
Otu004952,Firmicutes
Otu004953,Firmicutes
Otu004954,Firmicutes
Otu004955,Firmicutes
Otu004956,Firmicutes
Otu004957,Firmicutes
Otu004958,Firmicutes
Otu004959,Firmicutes
Otu004960,Firmicutes
Otu004961,Firmicutes
Otu004962,Firmicutes
Otu004963,Firmicutes
Otu004964,Firmicutes
Otu004965,Firmicutes
Otu004966,Firmicutes
Otu004967,Firmicutes
Otu004968,Firmicutes
Otu004969,Firmicutes
Otu004970,Firmicutes
Otu004971,Firmicutes
Otu004972,Firmicutes
Otu004973,Firmicutes
Otu004974,Firmicutes
Otu004975,Firmicutes
Otu004976,Firmicutes
Otu004977,Firmicutes
Otu004978,Firmicutes
Otu004979,Firmicutes
Otu004980,Firmicutes
Otu004981,Firmicutes
Otu004982,Firmicutes
Otu004983,Firmicutes
Otu004984,Firmicutes
Otu004985,Firmicutes
Otu004986,Firmicutes
Otu004987,Firmicutes
Otu004988,Firmicutes
Otu004989,Firmicutes
Otu004990,Firmicutes
Otu004991,Firmicutes
Otu004992,Firmicutes
Otu004993,Firmicutes
Otu004994,Firmicutes
Otu004995,Firmicutes
Otu004996,Firmicutes
Otu004997,Firmicutes
Otu004998,Firmicutes
Otu004999,Firmicutes
Otu005000,Firmicutes
Otu005001,Firmicutes
Otu005002,Firmicutes
Otu005003,Firmicutes
Otu005004,Firmicutes
Otu005005,Firmicutes
Otu005006,Firmicutes
Otu005007,Firmicutes
Otu005008,Firmicutes
Otu005009,Firmicutes
Otu005010,Firmicutes
Otu005011,Firmicutes
Otu005012,Firmicutes
Otu005013,Firmicutes
Otu005014,Firmicutes
Otu005015,Firmicutes
Otu005016,Firmicutes
Otu005017,Firmicutes
Otu005018,Firmicutes
Otu005019,Firmicutes
Otu005020,Firmicutes
Otu005021,Firmicutes
Otu005022,Firmicutes
Otu005023,Firmicutes
Otu005024,Firmicutes
Otu005025,Firmicutes
Otu005026,Firmicutes
Otu005027,Firmicutes
Otu005028,Firmicutes
Otu005029,Firmicutes
Otu005030,Firmicutes
Otu005031,Firmicutes
Otu005032,Firmicutes
Otu005033,Firmicutes
Otu005034,Firmicutes
Otu005035,Firmicutes
Otu005036,Firmicutes
Otu005037,Firmicutes
Otu005038,Firmicutes
Otu005039,Firmicutes
Otu005040,Firmicutes
Otu005041,Firmicutes
Otu005042,Firmicutes
Otu005043,Firmicutes
Otu005044,Firmicutes
Otu005045,Firmicutes
Otu005046,Firmicutes
Otu005047,Firmicutes
Otu005048,Firmicutes
Otu005049,Firmicutes
Otu005050,Firmicutes
Otu005051,Firmicutes
Otu005052,Firmicutes
Otu005053,Firmicutes
Otu005054,Firmicutes
Otu005055,Firmicutes
Otu005056,Firmicutes
Otu005057,Firmicutes
Otu005058,Firmicutes
Otu005059,Firmicutes
Otu005060,Firmicutes
Otu005061,Firmicutes
Otu005062,Firmicutes
Otu005063,Firmicutes
Otu005064,Firmicutes
Otu005065,Firmicutes
Otu005066,Firmicutes
Otu005067,Firmicutes
Otu005068,Firmicutes
Otu005069,Firmicutes
Otu005070,Firmicutes
Otu005071,Firmicutes
Otu005072,Firmicutes
Otu005073,Firmicutes
Otu005074,Firmicutes
Otu005075,Firmicutes
Otu005076,Firmicutes
Otu005077,Firmicutes
Otu005078,Firmicutes
Otu005079,Firmicutes
Otu005080,Firmicutes
Otu005081,Firmicutes
Otu005082,Firmicutes
Otu005083,Firmicutes
Otu005084,Firmicutes
Otu005085,Firmicutes
Otu005086,Firmicutes
Otu005087,Firmicutes
Otu005088,Firmicutes
Otu005089,Firmicutes
Otu005090,Firmicutes
Otu005091,Firmicutes
Otu005092,Firmicutes
Otu005093,Firmicutes
Otu005094,Firmicutes
Otu005095,Firmicutes
Otu005096,Firmicutes
Otu005097,Firmicutes
Otu005098,Firmicutes
Otu005099,Firmicutes
Otu005100,Firmicutes
Otu005101,Firmicutes
Otu005102,Firmicutes
Otu005103,Firmicutes
Otu005104,Firmicutes
Otu005105,Firmicutes
Otu005106,Firmicutes
Otu005107,Firmicutes
Otu005108,Firmicutes
Otu005109,Firmicutes
Otu005110,Firmicutes
Otu005111,Firmicutes
Otu005112,Firmicutes
Otu005113,Firmicutes
Otu005114,Firmicutes
Otu005115,Firmicutes
Otu005116,Firmicutes
Otu005117,Firmicutes
Otu005118,Firmicutes
Otu005119,Firmicutes
Otu005120,Firmicutes
Otu005121,Firmicutes
Otu005122,Firmicutes
Otu005123,Firmicutes
Otu005124,Firmicutes
Otu005125,Firmicutes
Otu005126,Firmicutes
Otu005127,Firmicutes
Otu005128,Firmicutes
Otu005129,Firmicutes
Otu005130,Firmicutes
Otu005131,Firmicutes
Otu005132,Firmicutes
Otu005133,Firmicutes
Otu005134,Firmicutes
Otu005135,Firmicutes
Otu005136,Firmicutes
Otu005137,Firmicutes
Otu005138,Firmicutes
Otu005139,Firmicutes
Otu005140,Firmicutes
Otu005141,Firmicutes
Otu005142,Firmicutes
Otu005143,Firmicutes
Otu005144,Firmicutes
Otu005145,Firmicutes
Otu005146,Firmicutes
Otu005147,Firmicutes
Otu005148,Firmicutes
Otu005149,Firmicutes
Otu005150,Firmicutes
Otu005151,Firmicutes
Otu005152,Firmicutes
Otu005153,Firmicutes
Otu005154,Firmicutes
Otu005155,Firmicutes
Otu005156,Firmicutes
Otu005157,Firmicutes
Otu005158,Firmicutes
Otu005159,Firmicutes
Otu005160,Firmicutes
Otu005161,Firmicutes
Otu005162,Firmicutes
Otu005163,Firmicutes
Otu005164,Firmicutes
Otu005165,Firmicutes
Otu005166,Firmicutes
Otu005167,Firmicutes
Otu005168,Firmicutes
Otu005169,Firmicutes
Otu005170,Firmicutes
Otu005171,Firmicutes
Otu005172,Firmicutes
Otu005173,Firmicutes
Otu005174,Firmicutes
Otu005175,Firmicutes
Otu005176,Firmicutes
Otu005177,Firmicutes
Otu005178,Firmicutes
Otu005179,Firmicutes
Otu005180,Firmicutes
Otu005181,Firmicutes
Otu005182,Firmicutes
Otu005183,Firmicutes
Otu005184,Firmicutes
Otu005185,Firmicutes
Otu005186,Firmicutes
Otu005187,Firmicutes
Otu005188,Firmicutes
Otu005189,Firmicutes
Otu005190,Firmicutes
Otu005191,Firmicutes
Otu005192,Firmicutes
Otu005193,Firmicutes
Otu005194,Firmicutes
Otu005195,Firmicutes
Otu005196,Firmicutes
Otu005197,Firmicutes
Otu005198,Firmicutes
Otu005199,Firmicutes
Otu005200,Firmicutes
Otu005201,Firmicutes
Otu005202,Firmicutes
Otu005203,Firmicutes
Otu005204,Firmicutes
Otu005205,Firmicutes
Otu005206,Firmicutes
Otu005207,Firmicutes
Otu005208,Firmicutes
Otu005209,Firmicutes
Otu005210,Firmicutes
Otu005211,Firmicutes
Otu005212,Firmicutes
Otu005213,Firmicutes
Otu005214,Firmicutes
Otu005215,Firmicutes
Otu005216,Firmicutes
Otu005217,Firmicutes
Otu005218,Firmicutes
Otu005219,Firmicutes
Otu005220,Firmicutes
Otu005221,Firmicutes
Otu005222,Firmicutes
Otu005223,Firmicutes
Otu005224,Firmicutes
Otu005225,Firmicutes
Otu005226,Firmicutes
Otu005227,Firmicutes
Otu005228,Firmicutes
Otu005229,Firmicutes
Otu005230,Firmicutes
Otu005231,Firmicutes
Otu005232,Firmicutes
Otu005233,Firmicutes
Otu005234,Firmicutes
Otu005235,Firmicutes
Otu005236,Firmicutes
Otu005237,Firmicutes
Otu005238,Firmicutes
Otu005239,Firmicutes
Otu005240,Firmicutes
Otu005241,Firmicutes
Otu005242,Firmicutes
Otu005243,Firmicutes
Otu005244,Firmicutes
Otu005245,Firmicutes
Otu005246,Firmicutes
Otu005247,Firmicutes
Otu005248,Firmicutes
Otu005249,Firmicutes
Otu005250,Firmicutes
Otu005251,Firmicutes
Otu005252,Firmicutes
Otu005253,Firmicutes
Otu005254,Firmicutes
Otu005255,Firmicutes
Otu005256,Firmicutes
Otu005257,Firmicutes
Otu005258,Firmicutes
Otu005259,Firmicutes
Otu005260,Firmicutes
Otu005261,Firmicutes
Otu005262,Firmicutes
Otu005263,Firmicutes
Otu005264,Firmicutes
Otu005265,Firmicutes
Otu005266,Firmicutes
Otu005267,Firmicutes
Otu005268,Firmicutes
Otu005269,Firmicutes
Otu005270,Firmicutes
Otu005271,Firmicutes
Otu005272,Firmicutes
Otu005273,Firmicutes
Otu005274,Firmicutes
Otu005275,Firmicutes
Otu005276,Firmicutes
Otu005277,Firmicutes
Otu005278,Firmicutes
Otu005279,Firmicutes
Otu005280,Firmicutes
Otu005281,Firmicutes
Otu005282,Firmicutes
Otu005283,Firmicutes
Otu005284,Firmicutes
Otu005285,Firmicutes
Otu005286,Firmicutes
Otu005287,Firmicutes
Otu005288,Firmicutes
Otu005289,Firmicutes
Otu005290,Firmicutes
Otu005291,Firmicutes
Otu005292,Firmicutes
Otu005293,Firmicutes
Otu005294,Firmicutes
Otu005295,Firmicutes
Otu005296,Firmicutes
Otu005297,Firmicutes
Otu005298,Firmicutes
Otu005299,Firmicutes
Otu005300,Firmicutes
Otu005301,Firmicutes
Otu005302,Firmicutes
Otu005303,Firmicutes
Otu005304,Firmicutes
Otu005305,Firmicutes
Otu005306,Firmicutes
Otu005307,Firmicutes
Otu005308,Firmicutes
Otu005309,Firmicutes
Otu005310,Firmicutes
Otu005311,Firmicutes
Otu005312,Firmicutes
Otu005313,Firmicutes
Otu005314,Firmicutes
Otu005315,Firmicutes
Otu005316,Firmicutes
Otu005317,Firmicutes
Otu005318,Firmicutes
Otu005319,Firmicutes
Otu005320,Firmicutes
Otu005321,Firmicutes
Otu005322,Firmicutes
Otu005323,Firmicutes
Otu005324,Firmicutes
Otu005325,Firmicutes
Otu005326,Firmicutes
Otu005327,Firmicutes
Otu005328,Firmicutes
Otu005329,Firmicutes
Otu005330,Firmicutes
Otu005331,Firmicutes
Otu005332,Firmicutes
Otu005333,Firmicutes
Otu005334,Firmicutes
Otu005335,Firmicutes
Otu005336,Firmicutes
Otu005337,Firmicutes
Otu005338,Firmicutes
Otu005339,Firmicutes
Otu005340,Firmicutes
Otu005341,Firmicutes
Otu005342,Firmicutes
Otu005343,Firmicutes
Otu005344,Firmicutes
Otu005345,Firmicutes
Otu005346,Firmicutes
Otu005347,Firmicutes
Otu005348,Firmicutes
Otu005349,Firmicutes
Otu005350,Firmicutes
Otu005351,Firmicutes
Otu005352,Firmicutes
Otu005353,Firmicutes
Otu005354,Firmicutes
Otu005355,Firmicutes
Otu005356,Firmicutes
Otu005357,Firmicutes
Otu005358,Firmicutes
Otu005359,Firmicutes
Otu005360,Firmicutes
Otu005361,Firmicutes
Otu005362,Firmicutes
Otu005363,Firmicutes
Otu005364,Firmicutes
Otu005365,Firmicutes
Otu005366,Firmicutes
Otu005367,Firmicutes
Otu005368,Firmicutes
Otu005369,Firmicutes
Otu005370,Firmicutes
Otu005371,Firmicutes
Otu005372,Firmicutes
Otu005373,Firmicutes
Otu005374,Firmicutes
Otu005375,Firmicutes
Otu005376,Firmicutes
Otu005377,Firmicutes
Otu005378,Firmicutes
Otu005379,Firmicutes
Otu005380,Firmicutes
Otu005381,Firmicutes
Otu005382,Firmicutes
Otu005383,Firmicutes
Otu005384,Firmicutes
Otu005385,Firmicutes
Otu005386,Firmicutes
Otu005387,Firmicutes
Otu005388,Firmicutes
Otu005389,Firmicutes
Otu005390,Firmicutes
Otu005391,Firmicutes
Otu005392,unclassified
Otu005393,unclassified
Otu005394,unclassified
Otu005395,unclassified
Otu005396,unclassified
Otu005397,unclassified
Otu005398,unclassified
Otu005399,unclassified
Otu005400,unclassified
Otu005401,unclassified
Otu005402,unclassified
Otu005403,Firmicutes
Otu005404,Firmicutes
Otu005405,Firmicutes
Otu005406,Firmicutes
Otu005407,Firmicutes
Otu005408,Firmicutes
Otu005409,Firmicutes
Otu005410,Firmicutes
Otu005411,Firmicutes
Otu005412,Firmicutes
Otu005413,Firmicutes
Otu005414,Firmicutes
Otu005415,Firmicutes
Otu005416,Firmicutes
Otu005417,Firmicutes
Otu005418,Firmicutes
Otu005419,Firmicutes
Otu005420,Firmicutes
Otu005421,Firmicutes
Otu005422,Firmicutes
Otu005423,Firmicutes
Otu005424,Proteobacteria
Otu005425,Proteobacteria
Otu005426,Firmicutes
Otu005427,Bacteroidetes
Otu005428,Bacteroidetes
Otu005429,Bacteroidetes
Otu005430,Bacteroidetes
Otu005431,Bacteroidetes
Otu005432,Firmicutes
Otu005433,Firmicutes
Otu005434,Firmicutes
Otu005435,Firmicutes
Otu005436,Firmicutes
Otu005437,Firmicutes
Otu005438,Firmicutes
Otu005439,Firmicutes
Otu005440,Firmicutes
Otu005441,Firmicutes
Otu005442,Firmicutes
Otu005443,Firmicutes
Otu005444,Firmicutes
Otu005445,Firmicutes
Otu005446,Firmicutes
Otu005447,Firmicutes
Otu005448,Firmicutes
Otu005449,Firmicutes
Otu005450,Firmicutes
Otu005451,Firmicutes
Otu005452,Firmicutes
Otu005453,Firmicutes
Otu005454,Firmicutes
Otu005455,Firmicutes
Otu005456,Firmicutes
Otu005457,Firmicutes
Otu005458,Firmicutes
Otu005459,Firmicutes
Otu005460,Firmicutes
Otu005461,Firmicutes
Otu005462,Firmicutes
Otu005463,Firmicutes
Otu005464,Firmicutes
Otu005465,Firmicutes
Otu005466,Firmicutes
Otu005467,Firmicutes
Otu005468,Firmicutes
Otu005469,Firmicutes
Otu005470,Firmicutes
Otu005471,Firmicutes
Otu005472,Firmicutes
Otu005473,Firmicutes
Otu005474,Firmicutes
Otu005475,Firmicutes
Otu005476,Firmicutes
Otu005477,Firmicutes
Otu005478,unclassified
Otu005479,unclassified
Otu005480,unclassified
Otu005481,unclassified
Otu005482,unclassified
Otu005483,unclassified
Otu005484,unclassified
Otu005485,unclassified
Otu005486,unclassified
Otu005487,unclassified
Otu005488,unclassified
Otu005489,unclassified
Otu005490,unclassified
Otu005491,unclassified
Otu005492,unclassified
Otu005493,unclassified
Otu005494,Firmicutes
Otu005495,Proteobacteria
Otu005496,Proteobacteria
Otu005497,Firmicutes
Otu005498,Firmicutes
Otu005499,Firmicutes
Otu005500,Firmicutes
Otu005501,Firmicutes
Otu005502,Firmicutes
Otu005503,Firmicutes
Otu005504,Firmicutes
Otu005505,Firmicutes
Otu005506,Firmicutes
Otu005507,Firmicutes
Otu005508,Firmicutes
Otu005509,Firmicutes
Otu005510,Firmicutes
Otu005511,Firmicutes
Otu005512,Firmicutes
Otu005513,Firmicutes
Otu005514,Firmicutes
Otu005515,Firmicutes
Otu005516,Firmicutes
Otu005517,Firmicutes
Otu005518,Firmicutes
Otu005519,Firmicutes
Otu005520,Firmicutes
Otu005521,Firmicutes
Otu005522,Firmicutes
Otu005523,Firmicutes
Otu005524,Firmicutes
Otu005525,Firmicutes
Otu005526,Firmicutes
Otu005527,Firmicutes
Otu005528,Firmicutes
Otu005529,Firmicutes
Otu005530,Firmicutes
Otu005531,Firmicutes
Otu005532,Firmicutes
Otu005533,Firmicutes
Otu005534,Firmicutes
Otu005535,Firmicutes
Otu005536,Firmicutes
Otu005537,Firmicutes
Otu005538,Firmicutes
Otu005539,Firmicutes
Otu005540,Firmicutes
Otu005541,Firmicutes
Otu005542,Firmicutes
Otu005543,Firmicutes
Otu005544,Firmicutes
Otu005545,Firmicutes
Otu005546,Firmicutes
Otu005547,Firmicutes
Otu005548,Firmicutes
Otu005549,Firmicutes
Otu005550,Firmicutes
Otu005551,Firmicutes
Otu005552,Firmicutes
Otu005553,Firmicutes
Otu005554,Firmicutes
Otu005555,Firmicutes
Otu005556,Firmicutes
Otu005557,Firmicutes
Otu005558,Firmicutes
Otu005559,Firmicutes
Otu005560,Firmicutes
Otu005561,Firmicutes
Otu005562,Firmicutes
Otu005563,Firmicutes
Otu005564,Firmicutes
Otu005565,Firmicutes
Otu005566,Firmicutes
Otu005567,Firmicutes
Otu005568,Firmicutes
Otu005569,Firmicutes
Otu005570,Firmicutes
Otu005571,Firmicutes
Otu005572,Firmicutes
Otu005573,Firmicutes
Otu005574,Firmicutes
Otu005575,Firmicutes
Otu005576,Firmicutes
Otu005577,Firmicutes
Otu005578,Firmicutes
Otu005579,Firmicutes
Otu005580,Firmicutes
Otu005581,Firmicutes
Otu005582,Firmicutes
Otu005583,Firmicutes
Otu005584,Firmicutes
Otu005585,Firmicutes
Otu005586,Firmicutes
Otu005587,Firmicutes
Otu005588,Actinobacteria
Otu005589,Firmicutes
Otu005590,Firmicutes
Otu005591,Firmicutes
Otu005592,Firmicutes
Otu005593,Firmicutes
Otu005594,Firmicutes
Otu005595,Firmicutes
Otu005596,Firmicutes
Otu005597,Firmicutes
Otu005598,Firmicutes
Otu005599,Firmicutes
Otu005600,Firmicutes
Otu005601,Firmicutes
Otu005602,Firmicutes
Otu005603,Firmicutes
Otu005604,Firmicutes
Otu005605,Firmicutes
Otu005606,Firmicutes
Otu005607,Firmicutes
Otu005608,Firmicutes
Otu005609,Firmicutes
