ID	SRS012849	SRS012969	SRS013098	SRS013638	SRS013639	SRS016437	SRS016438	SRS017916	SRS020622	SRS021153	SRS021219	SRS024663	SRS043667	SRS045528	SRS045739	SRS049402	SRS049896	SRS050026	SRS053356	SRS053573	SRS053649	SRS054352	SRS055533	SRS056273	SRS058070	SRS063489	SRS063518	SRS064973	SRS074670	SRS074964	SRS075078	SRS075341	SRS075963	SRS076929	SRS077086	SRS077194	SRS077294	SRS077335	SRS077502	SRS077552	SRS077753	SRS077849	SRS078242	SRS078419	SRS078665	SRS097889	SRS098514	SRS098571	SRS098644	SRS098717	SRS098827	SRS101376	SRS101433	SRS103987	SRS104311	SRS104400	SRS104485	SRS105153	SRS140492	SRS140513	SRS140645	SRS142503	SRS142505	SRS142599	SRS142712	SRS142890	SRS143070	SRS143181	SRS143342	SRS143417	SRS143598	SRS143780	SRS143876	SRS143991	SRS144362	SRS144506	SRS144537	SRS145497	SRS146764	SRS146812	SRS146813	SRS147022	SRS147088	SRS147139	SRS147346	SRS147445	SRS147652	SRS147766	SRS147919	SRS148196	SRS148424	SRS148721
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02218	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_stadtmanae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02218	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_stadtmanae|t__GCF_000012545	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02218	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria	99.97735	99.9788	99.96572	98.37569	99.99029	98.3941	100.0	99.77054	99.99937	100.0	99.93386	99.99919	99.99821	99.99521	99.99859	100.0	99.99797	99.99829	99.61492	100.0	100.0	100.0	99.98987	99.99527	98.28217	100.0	99.98977	100.0	99.99862	100.0	99.99857	94.32561	99.5224	100.0	99.99831	99.89995	98.89478	99.99923	99.99222	99.93629	99.98466	100.0	99.92598	100.0	100.0	100.0	100.0	99.9438	100.0	99.85321	99.99898	91.45142	99.99454	99.99824	99.94953	99.73085	99.74862	99.71094	99.76585	99.54235	99.99003	99.98112	99.99966	99.83007	99.99086	99.98706	100.0	100.0	100.0	100.0	100.0	99.99952	100.0	99.83074	99.99766	99.35901	99.70333	99.99943	100.0	99.91789	99.76616	99.84467	99.97687	99.99369	99.86268	99.92408	92.87366	99.993	99.98796	99.84756	99.9953	98.47775
k__Bacteria|p__Acidobacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00187	0.0	0.0	0.0	0.0	0.00098	0.0	0.0	0.0	0.0	0.0	0.00145	0.0	0.0	0.0	0.0	0.0	0.00175	0.0	0.0	0.0	0.0	0.0	0.00189	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00099	0.00207	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00282	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00187	0.0	0.0	0.0	0.0	0.00098	0.0	0.0	0.0	0.0	0.0	0.00145	0.0	0.0	0.0	0.0	0.0	0.00175	0.0	0.0	0.0	0.0	0.0	0.00189	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00099	0.00207	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00282	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00187	0.0	0.0	0.0	0.0	0.00098	0.0	0.0	0.0	0.0	0.0	0.00145	0.0	0.0	0.0	0.0	0.0	0.00175	0.0	0.0	0.0	0.0	0.0	0.00189	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00099	0.00207	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00282	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00187	0.0	0.0	0.0	0.0	0.00098	0.0	0.0	0.0	0.0	0.0	0.00145	0.0	0.0	0.0	0.0	0.0	0.00175	0.0	0.0	0.0	0.0	0.0	0.00189	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00099	0.00207	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00282	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Granulicella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00187	0.0	0.0	0.0	0.0	0.00098	0.0	0.0	0.0	0.0	0.0	0.00145	0.0	0.0	0.0	0.0	0.0	0.00175	0.0	0.0	0.0	0.0	0.0	0.00189	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00099	0.00207	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00282	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Granulicella|s__Granulicella_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00187	0.0	0.0	0.0	0.0	0.00098	0.0	0.0	0.0	0.0	0.0	0.00145	0.0	0.0	0.0	0.0	0.0	0.00175	0.0	0.0	0.0	0.0	0.0	0.00189	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00099	0.00207	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00282	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria	2.43813	0.72088	0.71768	0.8561	2.29879	0.02054	0.04029	1.96746	0.02185	0.36159	0.07418	0.03018	0.39976	1.09603	0.26609	1.61023	0.62569	0.27677	5.65799	0.04252	0.07943	0.16706	1.84486	1.62922	0.04166	0.11168	0.186	0.69604	0.47286	0.10802	0.51139	0.07959	2.3477	0.42133	0.06244	0.40288	0.43316	1.24565	1.19022	0.01048	0.42519	0.73534	0.05345	0.81401	0.21085	0.13172	0.04639	0.50746	2.24027	2.06909	0.02453	1.01915	0.35955	0.06934	0.63465	0.30197	0.08844	0.08554	6.00347	0.16635	0.2084	0.0141	0.99664	0.06804	0.12605	2.19614	0.45067	0.4377	0.22783	0.05766	0.0483	0.07741	0.37826	0.19809	0.88886	0.55421	0.34456	0.22641	1.00463	1.3488	0.1698	0.12544	4.06072	0.60293	0.19771	0.29491	0.71935	0.00877	0.45272	3.17801	0.37086	0.74231
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2.43813	0.72088	0.71768	0.8561	2.29879	0.02054	0.04029	1.96746	0.02185	0.36159	0.07418	0.03018	0.39976	1.09603	0.26609	1.61023	0.62569	0.27677	5.65799	0.04252	0.07943	0.16706	1.84486	1.62922	0.04166	0.11168	0.186	0.69604	0.47286	0.10802	0.51139	0.07959	2.3477	0.42133	0.06244	0.40288	0.43316	1.24565	1.19022	0.01048	0.42519	0.73534	0.05345	0.81401	0.21085	0.13172	0.04639	0.50746	2.24027	2.06909	0.02453	1.01915	0.35955	0.06934	0.63465	0.30197	0.08844	0.08554	6.00347	0.16635	0.2084	0.0141	0.99664	0.06804	0.12605	2.19614	0.45067	0.4377	0.22783	0.05766	0.0483	0.07741	0.37826	0.19809	0.88886	0.55421	0.34456	0.22641	1.00463	1.3488	0.1698	0.12544	4.06072	0.60293	0.19771	0.29491	0.71935	0.00877	0.45272	3.17801	0.37086	0.74231
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	0.01274	0.00775	0.04021	0.00954	0.07593	0.00545	0.0117	1.64978	0.0121	0.02574	0.0076	0.01915	0.01638	0.06876	0.01407	0.00943	0.04942	0.00655	0.01331	0.0065	0.01239	0.00924	0.01044	0.0162	0.01141	0.0064	0.06565	0.01868	0.00989	0.0066	0.01026	0.01274	2.11472	0.0185	0.02217	0.00425	0.00441	0.02937	0.0115	0.0	0.04361	0.00911	0.01117	0.01458	0.00974	0.00377	0.00232	0.00699	0.00594	0.07992	0.0	0.017	0.00943	0.00404	0.00612	0.00422	0.00024	0.00659	0.00881	0.06895	0.17938	0.00372	0.00121	0.02699	0.07336	0.01006	0.0	0.0	0.00465	0.00416	0.00025	0.00338	0.00128	0.01218	0.00672	0.05518	0.07251	0.00931	0.02457	0.0	0.0434	0.002	3.73938	8e-05	0.00339	0.29491	0.01017	0.00296	0.00174	0.09502	0.00924	0.03889
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae	0.0015	0.00218	0.00696	0.0	0.02144	0.0	0.00363	0.09069	0.00232	0.00555	0.002	0.00357	0.0029	0.01358	0.00426	0.00418	0.01061	0.00226	0.00407	0.00066	0.00115	0.00285	0.00268	0.005	0.00421	0.00259	0.01868	0.00886	0.00319	0.00214	0.0032	0.00204	1.98689	0.0	0.00603	0.0	0.0	0.00772	0.0	0.0	0.00684	0.00224	0.0032	0.00293	0.00322	0.0	0.0	0.00657	0.0	0.01128	0.0	0.00412	0.00135	0.0	0.0	0.0	0.0	0.0	0.00163	0.01538	0.10466	0.0	0.00101	0.0	0.02822	0.0	0.0	0.0	0.00465	0.0	0.0	0.0	0.0	0.00028	0.00646	0.03714	0.00812	0.00299	0.00368	0.0	0.00069	0.00019	1.32464	0.0	0.0	0.0	0.00838	0.0	0.0	0.072	0.0	0.0097
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces	0.0015	0.00218	0.00696	0.0	0.02144	0.0	0.00363	0.09069	0.00232	0.00555	0.002	0.00357	0.0029	0.01358	0.00426	0.00103	0.01061	0.00226	0.00407	0.00066	0.00115	0.00285	0.00268	0.005	0.00421	0.00259	0.01868	0.00886	0.00319	0.00214	0.0032	0.00204	1.98689	0.0	0.00603	0.0	0.0	0.00772	0.0	0.0	0.00684	0.00224	0.0032	0.00293	0.00322	0.0	0.0	0.00657	0.0	0.00099	0.0	0.00412	0.00135	0.0	0.0	0.0	0.0	0.0	0.00163	0.01538	0.10466	0.0	0.0	0.0	0.02822	0.0	0.0	0.0	0.00211	0.0	0.0	0.0	0.0	0.00028	0.00134	0.03714	0.00812	0.00299	0.00368	0.0	0.00069	0.0	1.32464	0.0	0.0	0.0	0.00838	0.0	0.0	0.07026	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_graevenitzii	0.0015	0.00208	0.00411	0.0	0.00961	0.0	0.00363	0.00049	0.00232	0.00555	0.002	0.00357	0.0029	0.00567	0.00426	0.00103	0.00419	0.00226	0.00407	0.00066	0.00115	0.00285	0.00268	0.005	0.00277	0.00259	0.01244	0.00886	0.00319	0.00214	0.0032	0.00204	1.98689	0.0	0.0	0.0	0.0	0.00772	0.0	0.0	0.00416	0.00224	0.0032	0.00293	0.00322	0.0	0.0	0.00629	0.0	0.0	0.0	0.00293	0.00135	0.0	0.0	0.0	0.0	0.0	0.00155	0.01538	0.10367	0.0	0.0	0.0	0.01339	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03192	0.0	0.00299	0.00368	0.0	0.0	0.0	0.75835	0.0	0.0	0.0	0.00522	0.0	0.0	0.0	0.0	0.0
