SampleIDs	Bacteroidetes	Firmicutes	unclassified	Fusobacteria	Proteobacteria	Actinobacteria	Verrucomicrobia	Lentisphaerae	Deinococcus	Synergistetes	Elusimicrobia	TM7
SRR1796093	39.34997098084736	52.40858966918166	6.3842135809634355	0.0	1.3929193267556588	0.05803830528148578	0.05803830528148578	0.3482298316889147	0.0	0.0	0.0	0.0
SRR1796095	29.715612304120718	57.28380731282646	4.2948345908299475	0.0	5.745792222867093	1.7991874637260592	0.0	0.0	1.1607661056297156	0.0	0.0	0.0
SRR1796096	47.70748694138131	49.50667440510737	1.044689495066744	0.0	0.4062681369704005	1.3348810214741729	0.0	0.0	0.0	0.0	0.0	0.0
SRR1796097	71.32907719094602	23.737666860127685	0.0	0.0	4.933255948926291	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR1796099	33.77829367382472	59.779454439930355	4.81717933836332	0.0	0.8705745792222866	0.7544979686593152	0.0	0.0	0.0	0.0	0.0	0.0
SRR1796101	19.849100406268136	74.05687753917586	5.803830528148578	0.0	0.2321532211259431	0.0	0.0	0.0	0.0	0.0	0.0	0.05803830528148578
SRR1796103	38.479396401625074	44.747533372025536	7.893209518282066	0.0	8.879860708067325	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR1796105	18.514219384793964	67.15031921067904	9.692396982008125	0.0	3.5983749274521184	0.812536273940801	0.0	0.17411491584445735	0.0	0.0	0.05803830528148578	0.0
SRR1796106	42.48403946604759	44.22518862449216	11.259431224608242	0.0	1.8572257690075449	0.17411491584445735	0.0	0.0	0.0	0.0	0.0	0.0
SRR1796108	53.33720255368544	38.30528148578062	0.9866511897852582	0.4062681369704005	1.6831108531630876	5.281485780615206	0.0	0.0	0.0	0.0	0.0	0.0
SRR1796111	9.112013929193267	60.127684271619266	22.98316889146837	0.0	4.2948345908299475	0.4062681369704005	0.4643064422518862	2.61172373766686	0.0	0.0	0.0	0.0
SRR1796112	47.99767846778874	47.7655252466628	2.5536854323853744	0.17411491584445735	0.9866511897852582	0.522344747533372	0.0	0.0	0.0	0.0	0.0	0.0
SRR1796114	54.14973882762624	37.666860127684274	0.8705745792222866	2.2054556006964594	4.875217643644805	0.2321532211259431	0.0	0.0	0.0	0.0	0.0	0.0
SRR1796115	41.55542658154382	52.2344747533372	2.8438769587928032	0.0	0.4643064422518862	2.901915264074289	0.0	0.0	0.0	0.0	0.0	0.0
SRR1796120	71.38711549622752	20.08125362739408	0.0	0.05803830528148578	3.0179918746372607	5.455600696459664	0.0	0.0	0.0	0.0	0.0	0.0
SRR1796122	42.77423099245502	52.06035983749274	1.8572257690075449	0.0	0.05803830528148578	2.901915264074289	0.2901915264074289	0.0	0.0	0.0	0.0	0.05803830528148578
SRR1796123	50.84155542658154	45.85026117237377	0.11607661056297155	0.0	0.2901915264074289	2.901915264074289	0.0	0.0	0.0	0.0	0.0	0.0
SRR1796125	50.95763203714452	47.82356355194428	0.2321532211259431	0.05803830528148578	0.6964596633778294	0.2321532211259431	0.0	0.0	0.0	0.0	0.0	0.0
SRR1796127	55.77481137550784	35.1131746952989	4.7011027278003485	0.0	4.004643064422519	0.0	0.4062681369704005	0.0	0.0	0.0	0.0	0.0
SRR1796128	45.15380150899594	47.88160185722577	1.8572257690075449	1.3929193267556588	3.0760301799187464	0.3482298316889147	0.2901915264074289	0.0	0.0	0.0	0.0	0.0
